ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
,,,,,GCA_014205885,
24806,PBi,"DSM 23469, ATCC BAA-2496",1,Borrelia garinii subsp. bavariensis,290434.5,microaerophile
,,,,,GCA_000196215,
,,,,,GCA_003814425,
14307,20047,"DSM 10534, ATCC 51383, CIP 103362",1,Borrelia garinii subsp. garinii,2728369389,microaerophile
,,,,,29519.15,
,,,,,29519.16,
,,,,,29519.17,
,,,,,29519.18,
,,,,,29519.19,
,,,,,29519.2,
,,,,,29519.21,
,,,,,29519.22,
,,,,,29519.23,
24808,25015,"DSM 26572, ATCC BAA-2495",1,Borrelia kurtenbachii,2861272341,microaerophile
14313,"CA28, CA28-91","DSM 17992, CIP 109135",1,Borrelia lanei,2861253713,microaerophile
,,,,,373540.3,
,,,,,GCA_014205895,
167521,"CA690, TSD-160","ATCC TSD-160, DSM 107169",1,Borrelia maritima,1476873.3,microaerophile
,,,,,CP044535,
,,,,,CP044536,
,,,,,CP044537,
,,,,,CP044538,
,,,,,CP044539,
,,,,,CP044540,
,,,,,CP044541,
,,,,,CP044542,
,,,,,GCA_008931845,
14309,"PC-Eq17, PC-eq17N5","DSM 16813, CIP 108855",1,Borrelia spielmanii,2861251124,microaerophile
,,,,,88916.9,
,,,,,GCA_014201705,
14308,IST7,"DSM 16138, JCM 11958",1,Borrelia turcica,1104446.3,microaerophile
,,,,,2840707444,
,,,,,GCA_003606285,
24807,Okinawa-CW62,"DSM 24625, JCM 17189, DSM 23263",1,Borrelia yangtzensis,2861264975,microaerophile
,,,,,683292.3,
,,,,,GCA_014201775,
174,M1749/98/1,"DSM 15383, CCUG 41710, CIP 106509",1,Boudabousia marimammalium,156892.4,microaerophile
,,,,,2865869608,
,,,,,GCA_001936115,
188,R2014,"DSM 19116, CCUG 46092, CIP 107668",1,Bowdeniella nasicola,208480.4,microaerophile
,,,,,2855319728,
,,,,,GCA_001907295,
343,LGM 19451,"DSM 13743, LMG 19451, NCIMB 13739, CCUG 47103, RKI 99-01984, CIP 107426",1,Brackiella oedipodis,1121118.3,microaerophile
,,,,,2556921113,
